recorded_at,wallet,wallet_label,coin,market_type,slug,side,size_usd,price,trade_timestamp,gap_at_time,gap_seconds_diff,both_sides_flag
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,0.3456,0.54,1772376911,-0.98,20,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,23.97,0.47,1772376905,-0.98,26,True
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,15m,btc-updown-15m-1772376300,UP,14.5783,0.45,1772376919,-0.98,12,False
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,15m,btc-updown-15m-1772376300,UP,0.999999,0.4499997974998886,1772376919,-0.98,12,False
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772376900,UP,1.292307,0.3500000677083827,1772376917,-0.98,14,False
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772376900,UP,2.546923,0.35000004122622175,1772376917,-0.98,14,False
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772376900,UP,1.076923,0.35000009750003414,1772376917,-0.98,14,False
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772376900,UP,25.124615,0.3500000013930562,1772376917,-0.98,14,False
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772376900,UP,8.8025,0.35,1772376917,-0.98,14,False
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772376900,DOWN,76.59,0.69,1772376915,-0.98,16,True
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772376900,DOWN,5.8826,0.67,1772376915,-0.98,16,True
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772376900,DOWN,4.2399,0.63,1772376915,-0.98,16,True
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772376900,DOWN,9.6,0.64,1772376915,-0.98,16,True
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772376900,DOWN,4.804977,0.6400000479502851,1772376915,-0.98,16,True
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772376900,DOWN,5.76,0.64,1772376915,-0.98,16,True
2026-03-01T14:55:28.090179+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772376900,DOWN,20.943243,0.630000016243903,1772376915,-0.98,16,True
